"name","country","type","filterType","isMotorized","isMechanized","isHorsed","isCarrier","isRecon","isParatrooper","isEngineers","isCavalry","isOnBoat","isDropable","isTrain","isSubmarine","isSupplyShip","isConvoy","canCarryRockets","canCarryBombs","canCarryTorpedo","isInfantry","isFootInfantry","isTransportCandidate"
"10 cm M. 14 Feldhaubitze","Slovakia","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"10 cm M. 14 Feldhaubitze","Hungary","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"10 cm schwere Kanone 18","Bulgaria","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"10.5 cm Cannon Model 1927","Netherlands","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"10.5 cm kanon m34","Sweden","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105 mm kanon m34","Thailand","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105mm 37M Howitzer","Hungary","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105mm M2A1","USA","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105mm Mle 1919","Iraq","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105mm Mle 1919","Greece","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105mm model 1913","Spain","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105mm model 1913","Croatia","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
